"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"18.07.2023","1.978,71","1.954,59","1.984,39","1.954,44","","1,23%"
"17.07.2023","1.954,74","1.954,90","1.959,91","1.945,82","","-0,01%"
"14.07.2023","1.954,93","1.961,58","1.963,81","1.951,00","","-0,27%"
"13.07.2023","1.960,19","1.957,44","1.963,69","1.952,71","","0,16%"
"12.07.2023","1.957,09","1.932,59","1.959,82","1.932,18","","1,30%"
"11.07.2023","1.931,99","1.925,40","1.938,69","1.924,40","","0,36%"
"10.07.2023","1.924,99","1.925,19","1.928,31","1.912,68","","0,04%"
"07.07.2023","1.924,28","1.911,07","1.934,92","1.909,56","","0,71%"
"06.07.2023","1.910,80","1.916,05","1.927,69","1.902,68","","-0,34%"
"05.07.2023","1.917,32","1.925,90","1.935,17","1.914,48","","-0,40%"
"04.07.2023","1.925,09","1.921,78","1.930,84","1.919,90","","0,19%"
"03.07.2023","1.921,43","1.919,40","1.931,09","1.910,10","","0,10%"
"30.06.2023","1.919,57","1.908,53","1.922,90","1.900,56","","0,60%"
"29.06.2023","1.908,15","1.908,80","1.913,15","1.893,01","","0,04%"
"28.06.2023","1.907,42","1.913,59","1.917,24","1.902,84","","-0,31%"
"27.06.2023","1.913,35","1.923,21","1.930,85","1.911,19","","-0,49%"
"26.06.2023","1.922,85","1.924,30","1.933,48","1.921,59","","0,08%"
"23.06.2023","1.921,36","1.913,80","1.937,10","1.910,24","","0,41%"
"22.06.2023","1.913,52","1.932,09","1.935,00","1.912,34","","-0,97%"
"21.06.2023","1.932,26","1.935,42","1.939,55","1.919,34","","-0,19%"
"20.06.2023","1.935,91","1.950,90","1.956,87","1.929,77","","-0,73%"
"19.06.2023","1.950,12","1.957,99","1.958,93","1.947,80","","-0,37%"
"16.06.2023","1.957,36","1.957,68","1.968,00","1.953,42","","-0,01%"
"15.06.2023","1.957,65","1.943,44","1.960,34","1.925,30","","0,75%"
"14.06.2023","1.942,99","1.943,49","1.960,41","1.939,73","","-0,02%"
"13.06.2023","1.943,33","1.957,69","1.970,74","1.939,99","","-0,69%"
"12.06.2023","1.956,92","1.960,25","1.967,55","1.948,80","","-0,19%"
"09.06.2023","1.960,60","1.968,10","1.973,09","1.956,73","","-0,36%"
"08.06.2023","1.967,76","1.940,59","1.970,50","1.939,81","","1,45%"
"07.06.2023","1.939,63","1.963,59","1.970,26","1.939,80","","-1,18%"
"06.06.2023","1.962,85","1.962,11","1.966,85","1.954,00","","0,07%"
"05.06.2023","1.961,45","1.947,59","1.964,13","1.938,14","","0,71%"
"02.06.2023","1.947,63","1.978,14","1.983,52","1.947,67","","-1,53%"
"01.06.2023","1.977,88","1.962,80","1.983,27","1.953,43","","0,79%"
"31.05.2023","1.962,30","1.959,30","1.975,34","1.953,67","","0,16%"
"30.05.2023","1.959,14","1.944,19","1.963,63","1.932,08","","0,84%"
"29.05.2023","1.942,84","1.944,09","1.949,75","1.940,30","","-0,18%"
"26.05.2023","1.946,33","1.940,69","1.957,40","1.936,84","","0,31%"
"25.05.2023","1.940,34","1.958,13","1.964,95","1.938,86","","-0,85%"
"24.05.2023","1.957,01","1.975,19","1.985,30","1.956,51","","-0,90%"
"23.05.2023","1.974,73","1.971,99","1.977,80","1.954,29","","0,27%"
"22.05.2023","1.969,43","1.977,80","1.982,66","1.968,40","","-0,36%"
"19.05.2023","1.976,56","1.957,40","1.984,09","1.954,05","","0,94%"
"18.05.2023","1.958,05","1.981,52","1.986,12","1.951,97","","-1,19%"
"17.05.2023","1.981,72","1.988,94","1.993,13","1.974,80","","-0,35%"
"16.05.2023","1.988,60","2.015,90","2.018,94","1.985,47","","-1,48%"
"15.05.2023","2.018,41","2.011,72","2.022,20","2.007,28","","0,36%"
"12.05.2023","2.011,15","2.015,19","2.022,56","2.001,05","","-0,22%"
"11.05.2023","2.015,55","2.030,56","2.041,44","2.011,19","","-0,69%"
"10.05.2023","2.029,51","2.034,19","2.048,22","2.021,57","","-0,23%"
"09.05.2023","2.034,17","2.022,24","2.037,70","2.019,50","","0,63%"
"08.05.2023","2.021,39","2.015,95","2.029,63","2.014,10","","0,24%"
"05.05.2023","2.016,54","2.051,73","2.053,13","1.999,30","","-1,69%"
"04.05.2023","2.051,11","2.036,86","2.073,29","2.030,34","","0,00%"
"03.05.2023","2.051,11","2.036,86","2.080,72","2.030,34","","1,73%"
